name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,5142,5443512740,,,0,,,,-122.3165656,47.6617853,,,
,5143,5443512742,,,0,,,,-122.3185197,47.6601973,,,
,5144,5443512743,,,0,,,,-122.3178511,47.6601937,,,
,5145,5443512745,,,0,,,,-122.3184472,47.6600292,,,
,5146,5443512746,,,0,,,,-122.3178564,47.6600268,,,
,5147,5443512748,,,0,,,,-122.3167908,47.6599696,,,
,5148,5443512749,,,0,,,,-122.317189,47.659972,,,
,5149,5443512750,,,0,,,,-122.3182663,47.6592092,,,
,5150,5443512751,,,0,,,,-122.3178738,47.6592056,,,
,5151,5443512752,,,0,,,,-122.3177628,47.6592056,,,
,5152,5443512753,,,0,,,,-122.3166533,47.6588431,,,
,5153,5443512754,,,0,,,,-122.3167489,47.6588439,,,
,5154,5443512755,,,0,,,,-122.3172042,47.6588479,,,
,5155,5443512766,,,0,,,,-122.3117422,47.6616446,,,
,5156,5443512767,,,0,,,,-122.3118697,47.6616455,,,
,5157,5443512768,,,0,,,,-122.3119711,47.6616477,,,
,5158,5443512769,,,0,,,,-122.3108701,47.6618822,,,
,5159,5443512770,,,0,,,,-122.3107701,47.6618822,,,
,5160,5443512773,,,0,,,,-122.3107681,47.6620451,,,
,5161,5443512774,,,0,,,,-122.3108675,47.6620451,,,
,5162,5443512779,,,0,,,,-122.3122013,47.6623895,,,
,5163,5443512780,,,0,,,,-122.3120923,47.6623916,,,
,5164,5443512781,,,0,,,,-122.3119689,47.6623885,,,
,5165,5443512782,,,0,,,,-122.3117563,47.6630908,,,
,5166,5443512783,,,0,,,,-122.3117563,47.6631346,,,
,5167,5443512786,,,0,,,,-122.3115599,47.6631339,,,
,5168,5443512787,,,0,,,,-122.3115599,47.6630903,,,
,5169,5443512842,,,0,,,,-122.3059644,47.6623438,,,
,5170,5443512843,,,0,,,,-122.3055787,47.6623438,,,
,5171,5443512844,,,0,,,,-122.3054837,47.6623461,,,
,5172,5443512845,,,0,,,,-122.3092527,47.6618303,,,
,5173,5443512846,,,0,,,,-122.3089285,47.6618303,,,
,5174,5443512847,,,0,,,,-122.308541,47.6617514,,,
,5175,5443512848,,,0,,,,-122.3089302,47.6617494,,,
,5176,5443512849,,,0,,,,-122.3068064,47.6623615,,,
,5177,5443512850,,,0,,,,-122.3071518,47.6623616,,,
,5178,5443512851,,,0,,,,-122.3072198,47.6623615,,,
,5179,5443512852,,,0,,,,-122.3062016,47.6620482,,,
,5180,5443512853,,,0,,,,-122.3062053,47.6618343,,,
,5181,5443512854,,,0,,,,-122.3064377,47.6618313,,,
,5182,5443512855,,,0,,,,-122.3065291,47.6618313,,,
,5183,5443512858,,,0,,,,-122.3065754,47.6589348,,,
,5184,5443512859,,,0,,,,-122.3071104,47.6592683,,,
,5185,5443512860,,,0,,,,-122.3093585,47.6589398,,,
,5186,5443512861,,,0,,,,-122.3087678,47.6586545,,,
,5187,5443512863,,,0,,,,-122.303893,47.6614248,,,
,5188,5443512864,,,0,,,,-122.3038883,47.661762,,,
,5189,5443512865,,,0,,,,-122.303886,47.6618067,,,
,5190,5443512866,,,0,,,,-122.3054849,47.662252,,,
