name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,9721,607207387,36,5448,,5.772350902611491,1,4,,footway,9,"LINESTRING (-122.3055107 47.6584404, -122.3055624 47.6584019)",walk,0
,9722,607207388,5470,5471,,8.87406193379705,1,4,,footway,9,"LINESTRING (-122.3062447 47.6588664, -122.3063297 47.658922)",walk,0
,9723,607207388,5471,5453,,7.288098980588349,1,4,,footway,9,"LINESTRING (-122.3063297 47.658922, -122.3063996 47.6589676)",walk,0
,9724,607207389,5456,2810,,1.915579486188166,1,4,,footway,9,"LINESTRING (-122.3056996 47.658637, -122.305682 47.6586495)",walk,0
,9725,607207390,5455,5466,,1.3744915701030573,1,4,,footway,9,"LINESTRING (-122.3072797 47.6595811, -122.3072933 47.6595728)",walk,0
,9726,607207391,5454,5460,,1.8428633018879315,1,4,,footway,9,"LINESTRING (-122.3069795 47.6593642, -122.3069615 47.6593755)",walk,0
,9727,607207392,5462,47,,3.572263280587153,1,4,,footway,9,"LINESTRING (-122.3072112 47.659636, -122.3072424 47.6596117)",walk,0
,9728,607207392,47,5455,,4.402414612484918,1,4,,footway,9,"LINESTRING (-122.3072424 47.6596117, -122.3072797 47.6595811)",walk,0
,9729,607208682,5472,5474,,4.786640218123602,1,4,,footway,9,"LINESTRING (-122.3087638 47.6607324, -122.3086999 47.6607333)",walk,0
,9730,607208682,5474,5473,,8.127059466349444,1,4,,footway,9,"LINESTRING (-122.3086999 47.6607333, -122.3085914 47.660732)",walk,0
,9731,607208683,1816,1448,,23.133520718919613,1,4,,footway,9,"LINESTRING (-122.3094438 47.6611552, -122.3091921 47.6610346)",walk,0
,9732,607208684,5476,5475,,12.95529851478948,1,4,,footway,9,"LINESTRING (-122.3085299 47.6605533, -122.3086993 47.6605297)",walk,0
,9733,607244084,5478,5477,,1.3510569593825548,1,4,,footway,9,"LINESTRING (-122.3183755 47.6545867, -122.3183911 47.6545928)",walk,0
,9734,607244086,5479,5480,,3.1324856146843874,1,4,,footway,9,"LINESTRING (-122.317998 47.6547441, -122.3180141 47.6547181)",walk,0
,9735,607244087,5480,5485,,22.959335896721843,1,4,,footway,9,"LINESTRING (-122.3180141 47.6547181, -122.3181114 47.6545223)",walk,0
,9736,607244087,5485,5496,,4.029339878227459,1,4,,footway,9,"LINESTRING (-122.3181114 47.6545223, -122.3181269 47.6544876)",walk,0
,9737,607244088,3895,453,,43.379849774706415,1,4,,footway,9,"LINESTRING (-122.3188606 47.6544625, -122.3185814 47.6548043)",walk,0
,9738,607244089,5506,5545,,2.7722166910364963,1,4,,footway,9,"LINESTRING (-122.3182202 47.6546929, -122.3182537 47.6547035)",walk,0
,9739,607244091,5526,5498,,14.464706022570105,1,4,,footway,9,"LINESTRING (-122.3173423 47.6546921, -122.3172844 47.6548162)",walk,0
,9740,607244093,5520,5518,,4.810707005552734,1,4,,footway,9,"LINESTRING (-122.3180727 47.6540746, -122.3180531 47.6541158)",walk,0
,9741,607244094,5550,5536,,0.3042363283230531,1,4,,footway,9,"LINESTRING (-122.3181579 47.6550182, -122.3181557 47.6550205)",walk,0
,9742,607244095,5545,5478,,16.73360536384705,1,4,,footway,9,"LINESTRING (-122.3182537 47.6547035, -122.318265 47.6547075, -122.3183755 47.6545867)",walk,0
,9743,607244095,5478,5517,,11.304517640497629,1,4,,footway,9,"LINESTRING (-122.3183755 47.6545867, -122.3184548 47.6545002)",walk,0
,9744,607244097,5543,1122,,1.2486502975105678,1,4,,footway,9,"LINESTRING (-122.318438 47.6549311, -122.318453 47.654936)",walk,0
,9745,607244098,5552,5529,,21.064805160753174,1,4,,footway,9,"LINESTRING (-122.3178311 47.6540031, -122.3180504 47.6541217)",walk,0
,9746,607244098,5529,5486,,23.843325291632816,1,4,,footway,9,"LINESTRING (-122.3180504 47.6541217, -122.3182901 47.6542628)",walk,0
,9747,607244098,5486,5497,,18.979274906879407,1,4,,footway,9,"LINESTRING (-122.3182901 47.6542628, -122.3184936 47.6543645)",walk,0
,9748,607244099,5507,5525,,4.043027652402215,1,4,,footway,9,"LINESTRING (-122.315671 47.6546676, -122.3156241 47.6546856)",bike;walk,0
,9749,607244099,5525,5533,,4.647079995185294,1,4,,footway,9,"LINESTRING (-122.3156241 47.6546856, -122.315579 47.6547143)",bike;walk,0
,9750,607244101,5544,5524,,27.405221341369224,1,4,,footway,9,"LINESTRING (-122.3175099 47.6541172, -122.3174892 47.6542211, -122.3174389 47.6542107, -122.3174614 47.6541056)",walk,0
,9751,607244102,5481,5505,,6.954179226131945,1,4,,footway,9,"LINESTRING (-122.3173648 47.6546152, -122.3173464 47.6546765)",walk,0
,9752,607244102,5505,5526,,1.7616142252301232,1,4,,footway,9,"LINESTRING (-122.3173464 47.6546765, -122.3173423 47.6546921)",walk,0
