name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
East 8th Street,133,5636208,2159,2280,,119.69043868295759,1,30,,tertiary,5,"LINESTRING (-111.9231271 33.4203242, -111.923925 33.4204935, -111.9241712 33.4205457, -111.9242516 33.4205624, -111.9243772 33.4205887)",bike;auto;walk,1
East 8th Street,134,5636208,2159,472,,27.92470922467984,1,30,,tertiary,5,"LINESTRING (-111.9231271 33.4203242, -111.9228355 33.4202623)",bike;auto;walk,1
East 8th Street,135,5636208,472,2159,,27.92470922467984,1,30,,tertiary,5,"LINESTRING (-111.9228355 33.4202623, -111.9231271 33.4203242)",bike;auto;walk,1
East 8th Street,136,5636208,472,2339,,3.3986343602813367,1,30,,tertiary,5,"LINESTRING (-111.9228355 33.4202623, -111.9228 33.4202548)",bike;auto;walk,1
East 8th Street,137,5636208,2339,472,,3.3986343602813367,1,30,,tertiary,5,"LINESTRING (-111.9228 33.4202548, -111.9228355 33.4202623)",bike;auto;walk,1
South Forest Avenue,138,5640924,1450,233,,10.921081150821713,1,15,,residential,6,"LINESTRING (-111.936655 33.4174833, -111.9366529 33.4173851)",bike;auto;walk,1
South Forest Avenue,139,5640924,233,1450,,10.921081150821713,1,15,,residential,6,"LINESTRING (-111.9366529 33.4173851, -111.936655 33.4174833)",bike;auto;walk,1
South Forest Avenue,140,5640924,233,504,,108.35491556872051,1,15,,residential,6,"LINESTRING (-111.9366529 33.4173851, -111.9366318 33.4164108)",bike;auto;walk,1
South Forest Avenue,141,5640924,504,233,,108.35491556872051,1,15,,residential,6,"LINESTRING (-111.9366318 33.4164108, -111.9366529 33.4173851)",bike;auto;walk,1
South Forest Avenue,142,5640924,504,400,,14.83584501777852,1,15,,residential,6,"LINESTRING (-111.9366318 33.4164108, -111.9366289 33.4162774)",bike;auto;walk,1
South Forest Avenue,143,5640924,400,504,,14.83584501777852,1,15,,residential,6,"LINESTRING (-111.9366289 33.4162774, -111.9366318 33.4164108)",bike;auto;walk,1
South Forest Avenue,144,5640924,400,1451,,7.951352764330408,1,15,,residential,6,"LINESTRING (-111.9366289 33.4162774, -111.9366276 33.4162059)",bike;auto;walk,1
South Forest Avenue,145,5640924,1451,400,,7.951352764330408,1,15,,residential,6,"LINESTRING (-111.9366276 33.4162059, -111.9366289 33.4162774)",bike;auto;walk,1
