node_id,x_coord,y_coord,meso_link_id,lane_no,activity_type,is_boundary
11834,-122.33386,47.64689,1215,1,tertiary,0
11835,-122.33388,47.64693,1215,1,,0
11836,-122.33397,47.64692,1216,1,residential,0
11837,-122.33396,47.64688,1216,1,,0
11838,-122.33388,47.64695,1217,1,residential,0
11839,-122.33387,47.64701,1217,1,,0
11840,-122.33387,47.64706,1217,1,,0
11841,-122.33397,47.64706,1218,1,residential,0
11842,-122.33397,47.647,1218,1,,0
11843,-122.33397,47.64695,1218,1,,0
11844,-122.33387,47.64714,1219,1,residential,0
11845,-122.33387,47.6472,1219,1,,0
11846,-122.33387,47.64726,1219,1,,0
11847,-122.33387,47.64733,1219,1,,0
11848,-122.33387,47.64739,1219,1,,0
11849,-122.33387,47.64745,1219,1,,0
11850,-122.33387,47.64752,1219,1,,0
11851,-122.33387,47.64759,1219,1,,0
11852,-122.33396,47.64759,1220,1,residential,0
11853,-122.33396,47.64752,1220,1,,0
11854,-122.33396,47.64746,1220,1,,0
11855,-122.33396,47.6474,1220,1,,0
11856,-122.33396,47.64734,1220,1,,0
11857,-122.33396,47.64727,1220,1,,0
11858,-122.33396,47.64721,1220,1,,0
11859,-122.33396,47.64714,1220,1,,0
11860,-122.33387,47.64773,1221,1,residential,0
11861,-122.33386,47.6478,1221,1,,0
11862,-122.33396,47.6478,1222,1,residential,0
11863,-122.33396,47.64773,1222,1,,0
11864,-122.33386,47.64789,1223,1,residential,0
11865,-122.33387,47.64797,1223,1,,0
11866,-122.33396,47.64797,1224,1,residential,0
11867,-122.33396,47.64788,1224,1,,0
11868,-122.33387,47.64799,1225,1,residential,0
11869,-122.33387,47.64802,1225,1,,0
11870,-122.33396,47.64802,1226,1,residential,0
11871,-122.33396,47.64799,1226,1,,0
11872,-122.33387,47.64804,1227,1,residential,0
11873,-122.33387,47.64811,1227,1,,0
11874,-122.33396,47.64812,1228,1,residential,0
11875,-122.33396,47.64804,1228,1,,0
11876,-122.33386,47.6482,1229,1,residential,0
11877,-122.33386,47.64826,1229,1,,0
11878,-122.33386,47.64832,1229,1,,0
11879,-122.33386,47.64838,1229,1,,0
11880,-122.33386,47.64845,1229,1,,0
11881,-122.33386,47.64851,1229,1,,0
11882,-122.33386,47.64859,1229,1,,0
11883,-122.33395,47.64859,1230,1,residential,0
11884,-122.33395,47.64853,1230,1,,0
