o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
23,E3,15,C5,2.5001708947640076,0.02330804222917644,"LINESTRING (-122.3177506 47.6481432,-122.2934898 47.6572427)"
23,E3,16,D1,1.7204779383269753,0.12917848672370494,"LINESTRING (-122.3177506 47.6481432,-122.3352917 47.6513437)"
23,E3,17,D2,0.7361768747395079,0.0984442558679564,"LINESTRING (-122.3177506 47.6481432,-122.3246096 47.6514846)"
23,E3,18,D3,0.5104576565180936,0.156295745687604,"LINESTRING (-122.3177506 47.6481432,-122.3138341 47.6516996)"
23,E3,19,D4,1.2536759353074112,0.14484948875509338,"LINESTRING (-122.3177506 47.6481432,-122.305244 47.6516642)"
23,E3,20,D5,1.8224194644476106,0.0,"LINESTRING (-122.3177506 47.6481432,-122.2989995 47.6504055)"
23,E3,21,E1,1.7603075658085257,0.09562987249752677,"LINESTRING (-122.3177506 47.6481432,-122.3359803 47.6474355)"
23,E3,22,E2,0.48783332658281225,0.04141623721326868,"LINESTRING (-122.3177506 47.6481432,-122.3228057 47.6482276)"
23,E3,23,E3,0.0,0.0,"LINESTRING (-122.3177506 47.6481432,-122.3177506 47.6481432)"
23,E3,24,E4,1.3263939629989423,0.10259660934412937,"LINESTRING (-122.3177506 47.6481432,-122.3040097 47.6485309)"
23,E3,25,E5,2.3064277842443786,0.0,"LINESTRING (-122.3177506 47.6481432,-122.2938875 47.6467586)"
23,E3,26,Gate1,2.851754911176512,2.3242770126649717,"LINESTRING (-122.3177506 47.6481432,-122.3462375 47.6560168)"
23,E3,27,Gate2,2.1190090798929515,66.64098302108756,"LINESTRING (-122.3177506 47.6481432,-122.3148263 47.6699086)"
23,E3,28,Gate3,3.3990363701034356,4.4291261054024,"LINESTRING (-122.3177506 47.6481432,-122.283415 47.6560168)"
23,E3,29,Gate4,0.6456277308792382,76.80641104465458,"LINESTRING (-122.3177506 47.6481432,-122.3148263 47.642125)"
24,E4,1,A1,3.3497196186259064,0.08671537681491313,"LINESTRING (-122.3040097 47.6485309,-122.3347924 47.6645809)"
24,E4,2,A2,2.6182973230389437,0.11690360521441036,"LINESTRING (-122.3040097 47.6485309,-122.3257881 47.6647182)"
